親見出し（日本語）	同綴見出し	親見出し（PMCP）	子見出し（日本語）	子見出し（PMCP）	品詞	語釈	品詞欄の直後に改行を強制
ツェレナ		ZELENA			名詞	階級、強弱、（〖[1]leti zelena〗 の形で）〖[1]〗番目	
ツォ		zo			名詞	駒	
ディイェ		dije			名詞	手番	
ティイェㇳ		tijet			名詞	シナモン、ニッキ、肉桂	
ディシェㇲ		dixec			名詞	自然科学、理化学	
ディㇲティㇲ		dictic			名詞	家、企業	
ディㇲティㇲラウツァイテ		dicticlauzaite			名詞	大工、建築家	
ディㇲネレㇳ		dicnelet			名詞	親戚	
ディㇲノㇲ	*	dicnoc			動詞	走る	
ディㇲノㇲ	*	dicnoc	ディㇲノスィㇳ	DICNOCIT	他動詞	運転する	
ティソㇳ	*	ticot			名詞	考え	
ティソㇳ	*	ticot	ティソティㇳ	ticotit	他動詞	と思う、と考える、と感じる	
ティソㇳ	*	ticot	ティソティㇳ キイェ	ticotit kije	他動詞	認識する	
ティソㇳ	*	ticot	ティソㇳ ティソㇳ	ticot-ticot	動詞	思う、考える	
ティソㇳラタ		ticotlata			名詞	思想家	
ディツェン		dizen			名詞	感情	
ディティ		diti			形容詞	新しい	
ディティイェ		ditije			名詞	社会	
ティディㇷ゚		tidip			名詞	紙	
ティデㇲ		tidec			動詞	尋ねる、質問する、問う	
ティパㇲ		tipac			名詞	斜め	
ティピディヤ		tipidija			名詞	予算、見積	
ティペㇲ		tipec			名詞	斜め	
ティペセン		tipecen			形容詞	斜めである	
ティミベ		timibe			名詞	マフィア	
ディヤㇲ	*	dijac	ディヤスィㇳ	DIJACIT	他動詞	キャンセルする、無効とする	
ディヤㇲ	*	dijac	ディヤㇲレティ	dijacleti	形容詞	無効な	
ティユナ		tijuna			名詞	左	
ディユナムㇽ		dijunamul			名詞	ヘルメット	
ディユナㇽ		dijunal			名詞	頭	
ディㇽ		dil	ディリㇳ	DILIT	他動詞	～を刺す	
ディンドゥン	*	dindun			動詞	ごちゃごちゃ	
ディンドゥン	*	dindun	ディンドゥニㇳ	DINDUNIT	他動詞	混ぜる、乱す、シャッフルする	
テㇰ		tek			名詞	合計、和	
デㇰタㇷ゚		dektap			名詞	デクタプ、デクタフ（人名）	
デシャペ	*	dexape			名詞	火	
デシャペ	*	dexape			動詞	燃やす、焼く	
デシャモセㇽ		dexamocel			名詞	コスト	
テショㇲ		texoc			動詞	寝る	
テショスィㇽ		texocil			名詞	夜	
デㇲ	*¹	dec	デスィㇳ	DECIT	他動詞	踏む、歩く	
デㇲ	*¹	dec	デㇲ デㇲ 	DEC-DEC	名詞	行進	
デㇲ	²	dec			名詞	色	
テスィレ		tecile			名詞	名人	
テㇲテㇽ		tectel	テㇲテリㇳ	tectelit	他動詞	～を決める、～を決定する、～を選ぶ、～を選択する	
デㇲトㇰ		dectok			名詞	芋	
テㇲヌロ		tecnulo			名詞	誇張	
テㇲノㇰ		tecnok			名詞	右	
デネポㇲ		denepoc			名詞	条件	
デノポㇲ		denopoc			名詞	条件	
デリユ		deliju			前置助動詞	～する必要がある、～のはずだ	
デル		delu			前置助動詞	～する必要がある、～のはずだ	
デㇽ		del			動詞	黒い	
デㇽネ		delne			動詞	黒い	
デルン		delun			動詞	黒い	
デレイェ		deleje			動詞	引き分けの	
テレㇲ		telec			名詞	行為	
デレㇲ		delec			動詞	必要である	
テンスミタㇽ		tencumital			名詞	刑務所	
トゥイェセン		tujecen			名詞	（暦の）月	
ドゥカ		duka	ドゥカレティ	dukaleti	数詞	3、3つ、3つの	
ドゥシェ		duxe			名詞	詩、歌、詩歌	
ドゥシェㇲテン		duxecten			形容詞	理科の、理系の、数理系の	
ドゥㇲ		duc	ドゥスィㇳ	ducit	他動詞	(〖[1] ducit [1] untik jo [2]〗 の形で)　　　　　〖[1]〗 は〖[2]〗 を後悔する	
ドゥスン		ducun			前置助動詞	極端に	
トゥデ	*	tude			動詞	移動する	
トゥデ	*	tude			後置助動詞	主語から離れる動作の方向を示す	
トゥデ	*	tude	トゥデイㇳ	tudeit	他動詞	～を動かす、～を移動させる	
トゥデキレ		tudekile			名詞	往来、交流	
ドゥトゥスン		dutucun	ドゥトゥスンレティ	dutucunleti	形容詞	新しい	FALSE
ドゥトゥトゥラㇽ		dututulal			名詞	（寸法の）前後	
トゥニ		tuni			名詞	予定、計画	
トゥモㇰ		tumok			名詞	（セッカイクの）再行、テュモク	
トゥライ	*	tulai			名詞	伴侶、配偶者	
トゥライ	*	tulai	トゥライ トゥライ	tulai-tulai	名詞	夫婦	
トゥリヨ		tulijo			名詞	土手	
トゥワサ	*	tuwaca			動詞	信じる	
トゥワサ	*	tuwaca	トゥワサイㇳ	tuwacait	他動詞	～を祝う	
トゥワサポㇽト		tuwacapolto			名詞	宗教施設、神社、寺、教会	
トゥワサリシャ		tuwacalixa			名詞	祭祀、典礼、法要	
トゥワセイㇳ		tuwaceit			他動詞	～を祝う	
トゥワㇽ		tuwal	トゥワリㇳ	TUWALIT	他動詞	～を奪う、～をひったくる	
トゥワレニヤ		tuwalenija			名詞	略奪	
ドㇰ	¹	dok	ドキㇳ	dokit	他動詞	～を引く、～を引っ張る、～を呼び込む	
ドㇰ	²	dok	ドㇰティㇳ	doktit	他動詞	～を叩く、～を殴る、～を打つ、～を打ち付ける、(投げ棒を)投げる	
トケㇲセ		tokecce			名詞	勝ち組、上流階級	
トシャ		toxa			名詞	石、岩	
トㇲティイェㇲ		toctijec			動詞	南である	
ドㇲネトㇲ		docnetoc			名詞	酒、アルコール	
ドド		dodo			名詞	馬	
トニ		toni			名詞	神	
ドネン	*	donen			名詞	交通	
ドネン	*	donen			形容詞	交通の	
トリㇳ		tolit			名詞	朝	
ドルメン		dolumen			形容詞	穢れた	
